"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
2.805714407E2,6.505877586E1,2.546932139E1,4.064598909E1,1.049027674E0,8.359281827E1,6.685615365E0,7.450278167E0
2.815714490E2,6.505878180E1,2.546934828E1,4.050078997E1,1.175257587E0,8.043241456E1,6.630262950E0,7.497938090E0
2.825714580E2,6.505878315E1,2.546937669E1,4.022950922E1,1.214691997E0,8.304861643E1,6.606753986E0,7.443030146E0
2.835714667E2,6.505878875E1,2.546939635E1,3.987879143E1,1.184066939E0,8.314017894E1,6.658897743E0,7.583080866E0
2.845714749E2,6.505879840E1,2.546941240E1,4.052080145E1,1.194600753E0,8.123413284E1,6.656361553E0,7.552891191E0
2.855714841E2,6.505880881E1,2.546943027E1,4.069410094E1,1.265167836E0,7.404652496E1,6.571841873E0,7.529063734E0
2.865714931E2,6.505881008E1,2.546944885E1,4.020711625E1,1.141777414E0,8.063909596E1,6.587267641E0,7.515328872E0
2.875715019E2,6.505881665E1,2.546947646E1,4.028766391E1,1.282905204E0,8.150620317E1,6.542702709E0,7.386337674E0
2.885715107E2,6.505881908E1,2.546950438E1,3.923374151E1,1.293897040E0,8.132413752E1,6.535480905E0,7.346286481E0
2.895715196E2,6.505881889E1,2.546953407E1,3.899207291E1,1.265065217E0,8.560083346E1,6.574881989E0,7.356551505E0
2.905715281E2,6.505882673E1,2.546955972E1,3.838749418E1,1.246828535E0,8.297536411E1,6.721495451E0,7.558955949E0
