"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
7.056966865E1,6.505981445E1,2.546682518E1,2.077629069E1,2.195776999E-1,NaN,7.366897110E0,1.335384963E1
7.156971824E1,6.505982618E1,2.546691225E1,3.862120367E1,3.834250931E-1,NaN,8.002855415E0,1.130249461E1
7.256976581E1,6.505981633E1,2.546692224E1,4.060851512E1,1.123587358E-1,NaN,1.202779180E1,1.698305926E1
7.356981230E1,6.505981556E1,2.546694087E1,4.310448873E1,1.705404888E-1,NaN,9.494058038E0,1.335185736E1
7.456985676E1,6.505981736E1,2.546695272E1,4.614921046E1,1.281809201E-1,NaN,8.472774598E0,1.166210423E1
7.556989908E1,6.505982621E1,2.546696950E1,4.790422439E1,2.479809093E-1,NaN,7.915470249E0,1.064123076E1
7.656994057E1,6.505981892E1,2.546698140E1,4.991397024E1,2.381887762E-1,NaN,8.618239627E0,1.143951496E1
7.756997895E1,6.505982031E1,2.546697587E1,5.069818646E1,1.501977925E-1,NaN,8.930943605E0,1.173554605E1
7.857001686E1,6.505981686E1,2.546697466E1,5.148604198E1,3.519514355E-1,NaN,9.047949433E0,1.158474047E1
7.957005429E1,6.505981810E1,2.546695886E1,5.263911791E1,4.440705617E-1,NaN,9.146495917E0,1.147077813E1
8.057008910E1,6.505980885E1,2.546694665E1,5.317627625E1,5.951768625E-1,NaN,9.370689652E0,1.157737526E1
8.157012284E1,6.505979623E1,2.546694082E1,5.359039414E1,7.842917382E-1,1.812417346E2,9.734564226E0,1.154426231E1
8.257015657E1,6.505979160E1,2.546693239E1,5.386906691E1,5.930886596E-1,NaN,9.750475708E0,1.121000153E1
8.357018828E1,6.505977978E1,2.546690255E1,5.430468399E1,9.175089438E-1,2.053177756E2,9.810437515E0,1.084771061E1
8.457021976E1,6.505976745E1,2.546687906E1,5.396535622E1,1.009689603E0,1.933511090E2,9.784225415E0,1.045455367E1
8.557024872E1,6.505975522E1,2.546685841E1,5.340464360E1,9.367792103E-1,1.874538150E2,1.006264197E1,1.055179354E1
8.657027805E1,6.505973936E1,2.546684991E1,5.506894762E1,7.883375083E-1,1.983525561E2,1.034104773E1,1.149470979E1
8.757030654E1,6.505973525E1,2.546683020E1,5.460964679E1,5.150320810E-1,2.079880465E2,1.042458812E1,1.126536528E1
8.857033551E1,6.505972473E1,2.546681222E1,5.373000121E1,6.164699241E-1,2.071223342E2,1.052204571E1,1.124017081E1
8.957036221E1,6.505971230E1,2.546679535E1,5.306882805E1,7.068367830E-1,2.051783663E2,1.046654513E1,1.149484291E1
9.057038808E1,6.505970005E1,2.546678137E1,5.232112707E1,7.328259534E-1,2.039748451E2,1.037020379E1,1.113579144E1
9.157041359E1,6.505969562E1,2.546676556E1,5.176767393E1,4.915757403E-1,2.097335561E2,1.047308232E1,1.104970976E1
9.257043946E1,6.505969391E1,2.546674230E1,5.076258013E1,3.021320368E-1,2.097335352E2,1.047403875E1,1.085667471E1
9.357046330E1,6.505968852E1,2.546671976E1,5.027053811E1,3.900437235E-1,2.097335149E2,1.050020955E1,1.058258993E1
9.457048869E1,6.505967993E1,2.546669586E1,4.943599993E1,6.603342576E-1,2.097334933E2,1.043862149E1,1.017057667E1
9.557051218E1,6.505966980E1,2.546667731E1,4.895068234E1,8.834234583E-1,2.016026783E2,1.037792892E1,1.034406804E1
9.657053447E1,6.505966379E1,2.546665293E1,4.844638154E1,8.349571051E-1,2.051976115E2,1.045109313E1,1.012429257E1
9.757055771E1,6.505965755E1,2.546662558E1,4.809960028E1,8.496448736E-1,2.111749737E2,1.048999353E1,9.918466254E0
9.857058024E1,6.505965481E1,2.546660547E1,4.785076951E1,6.725686377E-1,2.158983211E2,1.056002462E1,9.651620904E0
9.957060230E1,6.505965248E1,2.546659122E1,4.705743074E1,4.311538234E-1,2.157763780E2,1.055935392E1,9.153384248E0
1.005706240E2,6.505964327E1,2.546657946E1,4.669205405E1,3.785516163E-1,2.157763674E2,1.064888831E1,8.899776400E0
1.015706455E2,6.505963378E1,2.546656364E1,4.617095980E1,5.481833194E-1,2.157763530E2,1.037138486E1,8.322609264E0
1.025706663E2,6.505962019E1,2.546654976E1,4.618266567E1,7.152731580E-1,1.982704994E2,1.033804389E1,8.220601268E0
1.035706878E2,6.505961684E1,2.546653317E1,4.580196605E1,5.630827524E-1,2.047201800E2,1.035907905E1,7.996498802E0
1.045707077E2,6.505959764E1,2.546652895E1,4.552255401E1,9.092536891E-1,1.990408813E2,1.035505343E1,7.574272177E0
1.055707279E2,6.505958323E1,2.546653041E1,4.518400002E1,9.228097357E-1,1.849670973E2,1.011171143E1,7.893067279E0
1.065707477E2,6.505957635E1,2.546653131E1,4.485948578E1,7.808472099E-1,1.754119840E2,1.011639364E1,7.927638958E0
1.075707674E2,6.505956786E1,2.546653484E1,4.481300908E1,8.000837548E-1,1.732804160E2,1.000483944E1,7.711504321E0
1.085707873E2,6.505956463E1,2.546652332E1,4.480071277E1,6.799640444E-1,1.793663707E2,9.916970861E0,7.402939347E0
1.095708071E2,6.505956184E1,2.546652287E1,4.464187561E1,5.306813025E-1,1.774185398E2,9.672878860E0,6.933262544E0
1.105708258E2,6.505956029E1,2.546650634E1,4.497784032E1,4.483336393E-1,1.774185249E2,9.502489883E0,6.478979066E0
1.115708449E2,6.505955215E1,2.546648605E1,4.484253774E1,5.507686090E-1,1.774185066E2,9.691183167E0,6.244541348E0
1.125708643E2,6.505953534E1,2.546645878E1,4.450456465E1,8.862098587E-1,1.848081488E2,1.004513022E1,6.863002022E0
1.135708826E2,6.505952728E1,2.546643482E1,4.409346458E1,8.836239295E-1,1.923482891E2,1.024444247E1,6.911915403E0
1.145709010E2,6.505951871E1,2.546641963E1,4.384048660E1,8.142374602E-1,1.923314757E2,1.020129670E1,6.711240926E0
1.155709196E2,6.505950999E1,2.546640312E1,4.393074036E1,8.537319400E-1,1.913680629E2,1.021129710E1,7.178605843E0
1.165709382E2,6.505949913E1,2.546639265E1,4.373515951E1,8.580730510E-1,1.888535014E2,1.020762064E1,7.320354771E0
1.175709560E2,6.505949026E1,2.546637727E1,4.358343001E1,9.347563512E-1,1.896920396E2,1.004906810E1,7.242007725E0
1.185709740E2,6.505947769E1,2.546635518E1,4.336732218E1,9.491315445E-1,1.955463826E2,1.012645624E1,7.438741243E0
1.195709925E2,6.505946212E1,2.546633540E1,4.308406363E1,9.683929894E-1,1.966910663E2,9.997445174E0,7.629483418E0
1.205710102E2,6.505944860E1,2.546632246E1,4.256212495E1,9.911062756E-1,1.998070981E2,9.950202856E0,7.804933851E0
1.215710284E2,6.505943873E1,2.546632360E1,4.217016012E1,9.101342445E-1,1.954645012E2,9.924298672E0,8.006221297E0
1.225710460E2,6.505942809E1,2.546632442E1,4.208535391E1,9.590030615E-1,1.909297567E2,9.793849478E0,8.022782588E0
1.235710634E2,6.505941171E1,2.546632931E1,4.122700137E1,1.073648880E0,1.867125427E2,9.822075559E0,8.208205578E0
1.245710819E2,6.505940272E1,2.546632204E1,4.079277925E1,1.094806536E0,1.866320104E2,9.566656526E0,8.258182335E0
1.255710992E2,6.505939122E1,2.546632070E1,4.090963429E1,9.917875623E-1,1.852535148E2,9.446453916E0,8.283494577E0
1.265711172E2,6.505938179E1,2.546632559E1,4.066183886E1,8.900878300E-1,1.822728794E2,9.195137232E0,8.162746008E0
1.275711335E2,6.505937429E1,2.546632804E1,4.056641482E1,8.046238496E-1,1.800925117E2,9.223740566E0,8.160538794E0
1.285711514E2,6.505936791E1,2.546634263E1,3.982599023E1,5.953025896E-1,1.710538711E2,9.249463155E0,8.094912295E0
1.295711682E2,6.505935570E1,2.546633615E1,3.976793008E1,7.844651533E-1,1.785872100E2,9.206190638E0,7.958378186E0
1.305711861E2,6.505934247E1,2.546632512E1,3.910029277E1,9.177240638E-1,1.849427511E2,9.158175835E0,8.148230642E0
1.315712034E2,6.505933186E1,2.546632534E1,3.919155231E1,9.221989913E-1,1.845670902E2,8.978003553E0,8.196944991E0
1.325712205E2,6.505932157E1,2.546631981E1,3.880986163E1,9.709081478E-1,1.847695492E2,8.974958247E0,8.272146683E0
1.335712377E2,6.505931156E1,2.546631467E1,3.844545557E1,9.384702820E-1,1.834615784E2,8.923331004E0,8.303310359E0
1.345712548E2,6.505929953E1,2.546630800E1,3.839408786E1,8.991755482E-1,1.819487866E2,8.827840648E0,8.314321067E0
1.355712715E2,6.505928808E1,2.546630861E1,3.811552145E1,8.673438211E-1,1.827304682E2,8.781715201E0,8.310101983E0
1.365712882E2,6.505927457E1,2.546631439E1,3.776986641E1,8.657031893E-1,1.794477677E2,8.710073721E0,8.157813991E0
1.375713056E2,6.505926182E1,2.546630452E1,3.771567330E1,1.023040546E0,1.820083101E2,8.577408549E0,7.987252166E0
1.385713223E2,6.505925649E1,2.546629702E1,3.756778947E1,9.213790703E-1,1.830914882E2,8.492178685E0,8.220288631E0
1.395713391E2,6.505924484E1,2.546628868E1,3.722445085E1,8.563670596E-1,1.845628676E2,8.431416438E0,8.186890213E0
1.405713562E2,6.505923476E1,2.546628412E1,3.689350846E1,6.844968574E-1,1.818787747E2,8.428778904E0,8.227032748E0
1.415713736E2,6.505922490E1,2.546627883E1,3.676179055E1,5.390840215E-1,1.797801153E2,8.486803015E0,8.246538984E0
1.425713896E2,6.505921667E1,2.546627186E1,3.633924485E1,5.101997192E-1,1.821878686E2,8.354820930E0,7.987546917E0
1.435714062E2,6.505920169E1,2.546627083E1,3.525297740E1,7.229996746E-1,1.778472231E2,8.299765193E0,7.730247225E0
1.445714234E2,6.505918433E1,2.546627681E1,3.489635400E1,9.513912628E-1,1.781487784E2,8.334670939E0,7.838614520E0
1.455714405E2,6.505917591E1,2.546628110E1,3.460490984E1,8.679856163E-1,1.772819653E2,8.263369267E0,7.528897555E0
1.465714564E2,6.505916408E1,2.546628121E1,3.466416665E1,9.166049487E-1,1.792350969E2,8.292676530E0,7.521432195E0
1.475714732E2,6.505915372E1,2.546628588E1,3.383352954E1,9.171124498E-1,1.778798034E2,8.181756419E0,7.877130321E0
1.485714908E2,6.505914582E1,2.546628808E1,3.348519043E1,8.200934601E-1,1.765202663E2,7.990511631E0,7.643561973E0
1.495715069E2,6.505913493E1,2.546628476E1,3.311851731E1,8.458970716E-1,1.788582510E2,7.921113571E0,7.881305903E0
1.505715239E2,6.505912371E1,2.546627958E1,3.241871853E1,9.302434632E-1,1.829555689E2,7.788538132E0,7.723712320E0
