"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.892070415E-1,5.776055038E-1,7.856225395E-1,1.368772958E0
7.992770416E-1,6.128250378E-1,7.829211259E-1,1.157279752E0
8.093436665E-1,6.432698818E-1,6.973675901E-1,8.633741355E-1
8.194136666E-1,5.349699461E-1,4.517681605E-1,5.036019731E-1
8.294836667E-1,3.802477960E-1,1.293222839E-1,1.428451395E-1
8.395536665E-1,2.807639998E-1,-1.247789973E-1,-7.794046104E-2
8.496236666E-1,1.297269112E-1,-3.247204435E-1,-2.921344954E-1
8.596936667E-1,-3.029316714E-1,-3.828797740E-1,-2.322794724E-1
8.697636665E-1,-8.122884741E-1,-2.947815299E-1,2.932027817E-2
8.798336666E-1,-9.410160962E-1,-2.231683409E-1,3.977451503E-2
8.899036667E-1,-7.418456054E-1,-1.607411277E-1,2.481032073E-2
8.999736665E-1,-5.025757867E-1,-1.338585538E-1,2.708804512E-1
9.100436666E-1,-3.217143899E-1,-1.325119400E-1,4.883237833E-1
9.201136667E-1,-6.754820466E-2,-2.266427565E-1,3.043288636E-1
9.301836665E-1,1.783085024E-1,-5.861360067E-1,1.889937043E-2
9.402526666E-1,4.702155411E-2,-8.365278143E-1,3.180768371E-2
9.503226667E-1,-1.106623569E-1,-8.225096995E-1,3.548148930E-2
9.603926665E-1,-2.027779305E-1,-7.453837556E-1,-1.218717617E-1
9.704626666E-1,-3.064911640E-1,-5.554322773E-1,-3.135236102E-1
9.805326667E-1,-1.716915008E-1,-4.288365501E-1,-3.320282936E-1
9.906026665E-1,1.124153522E-1,-4.207966286E-1,-5.415381235E-1
1.000672667E0,4.053123245E-1,-4.513214332E-1,-7.082779098E-1
1.010742667E0,5.476449555E-1,-3.881639028E-1,-8.083541751E-1
1.020812667E0,5.182986572E-1,-3.199678266E-1,-9.221556097E-1
1.030882667E0,5.344089058E-1,-3.501821440E-1,-8.358086067E-1
1.040952667E0,5.947293672E-1,-4.988341534E-1,-8.344269097E-1
1.051022667E0,6.672842503E-1,-5.929082519E-1,-5.249314463E-1
1.061092667E0,6.650248861E-1,-5.820955807E-1,-4.274302948E-1
1.071162667E0,4.967265245E-1,-4.166193777E-1,-4.206153649E-1
1.081232667E0,3.713563737E-1,-1.600189966E-1,-2.851383018E-1
1.091301667E0,1.609256074E-1,6.785693765E-2,-3.079436123E-1
1.101371667E0,-3.002516001E-2,9.756547093E-2,-5.569829589E-1
1.111441666E0,-2.215109476E-1,3.721226513E-2,-5.770231211E-1
1.121511667E0,1.379600832E-1,1.250584942E-1,-6.366191125E-1
1.131581667E0,1.615930670E-1,7.726803124E-2,-5.667191577E-1
1.141651666E0,5.041907877E-2,2.175041431E-1,-7.194601250E-1
1.151721667E0,1.452258334E-1,4.693302727E-1,-6.841756868E-1
1.161791667E0,2.630077600E-3,6.561675239E-1,-8.109345514E-1
1.171861666E0,-4.702593952E-2,7.863148499E-1,-9.006109589E-1
1.181931667E0,-4.080888748E-2,9.655220693E-1,-8.880675119E-1
1.192001667E0,-9.275087357E-2,1.018920597E0,-7.525635517E-1
1.202071666E0,-5.327982903E-3,8.973248237E-1,-7.317053640E-1
1.212141667E0,5.816517770E-3,8.889100957E-1,-6.103493267E-1
1.222211667E0,4.851230174E-2,1.003648839E0,-5.002538574E-1
1.232281666E0,-6.461816490E-2,9.977425665E-1,-2.752325338E-1
1.242350667E0,-9.697227091E-2,9.396142262E-1,3.207197785E-2
1.252420667E0,1.286989707E-1,8.373774147E-1,2.320561087E-1
1.262490666E0,1.278175029E-1,7.320561969E-1,3.947437745E-1
1.272560667E0,-3.278943121E-2,8.439526087E-1,6.150879103E-1
1.282630667E0,-1.964529973E-1,1.183258347E0,6.918402171E-1
1.292700666E0,-2.803432927E-1,1.432926269E0,8.323850620E-1
1.302770667E0,-2.975528178E-1,1.408275577E0,7.684118450E-1
1.312840667E0,-3.836349419E-1,1.427383109E0,5.139117837E-1
1.322910666E0,-5.239315724E-1,1.556821752E0,3.815787685E-1
1.332980667E0,-7.123075184E-1,1.581361932E0,8.524070978E-2
1.343050667E0,-7.351271546E-1,1.684404489E0,2.259457684E-1
1.353120667E0,-8.901078978E-1,1.921649417E0,3.732979417E-1
1.363190667E0,-5.987002113E-1,2.113739807E0,2.054255497E-1
1.373260667E0,-1.842855263E-1,2.047309590E0,3.056871718E-1
1.383330667E0,2.099086100E-1,1.871447563E0,4.157118899E-1
1.393400667E0,6.646655747E-1,1.547460360E0,5.798204291E-1
1.403469667E0,9.816568762E-1,1.117422792E0,8.629098666E-1
1.413539667E0,1.078073954E0,7.554994386E-1,8.934101129E-1
1.423609667E0,1.025014857E0,5.824902678E-1,7.996196043E-1
1.433679667E0,7.492347318E-1,5.273954630E-1,1.075378388E0
1.443749667E0,4.324293718E-1,6.616200525E-1,1.082826571E0
1.453819667E0,3.114548653E-1,8.638840127E-1,8.120806056E-1
1.463889667E0,1.742895649E-1,1.021095176E0,6.092646682E-1
1.473959667E0,-3.391867474E-2,1.098698838E0,7.618343121E-1
1.484029667E0,1.019742715E-1,7.672564352E-1,1.459424096E-1
1.494099667E0,4.951587398E-1,3.601472613E-1,-3.070460647E-1
1.504169667E0,8.266963059E-1,-1.420127884E-1,-3.870435762E-1
1.514239667E0,1.157872368E0,-7.927166739E-1,-4.981055903E-1
1.524309667E0,1.368115731E0,-1.419261034E0,-6.548337740E-1
1.534379667E0,1.430949618E0,-1.697220417E0,-3.479479229E-1
1.544449667E0,1.410623965E0,-1.668845049E0,-1.367236894E-1
1.554519667E0,1.364096940E0,-1.591524392E0,-2.667394531E-1
1.564588667E0,1.093228183E0,-1.590477156E0,-2.246769226E-1
1.574658667E0,9.071956547E-1,-1.512656563E0,-1.066397649E-1
1.584728667E0,9.130804387E-1,-1.333648149E0,3.005936623E-2
1.594798667E0,9.317785187E-1,-1.169058384E0,-1.634589136E-2
1.604868667E0,9.363163966E-1,-9.386125982E-1,3.649364233E-2
1.614938667E0,9.653770584E-1,-7.393973762E-1,5.064682782E-2
1.625008667E0,1.061424884E0,-7.843039924E-1,-2.151863068E-1
1.635078666E0,1.104277666E0,-8.151843077E-1,-4.132683384E-1
1.645148667E0,1.048108728E0,-6.174209493E-1,-6.048295552E-1
1.655218667E0,8.856429639E-1,-1.787330103E-1,-8.041114354E-1
1.665288666E0,7.040991971E-1,2.013944793E-1,-9.929250455E-1
1.675358667E0,6.288443622E-1,3.945478928E-1,-1.095473514E0
1.685428667E0,6.669287395E-1,5.300313878E-1,-1.196031005E0
1.695498666E0,7.620357487E-1,6.322284383E-1,-1.265022887E0
1.705568667E0,7.516829610E-1,6.615083706E-1,-1.268041804E0
1.715638667E0,6.179761425E-1,6.264759475E-1,-1.177225775E0
1.725707666E0,5.812304851E-1,6.441854095E-1,-1.133129582E0
1.735777667E0,5.876369870E-1,6.662802833E-1,-1.061877751E0
1.745847667E0,7.557037988E-1,5.563812804E-1,-9.660337007E-1
1.755917666E0,1.049677536E0,5.248864228E-1,-7.195244443E-1
1.765987667E0,1.156678951E0,4.425886166E-1,-5.951500744E-1
1.776057667E0,1.098689775E0,3.174839294E-1,-4.668311727E-1
1.786127666E0,1.000488711E0,2.850886005E-1,-4.028018224E-1
1.796197667E0,8.732030126E-1,4.001506948E-1,-3.194257897E-1
1.806266917E0,6.665314212E-1,4.966233212E-1,-2.732848263E-1
1.816336917E0,5.417962781E-1,8.719022995E-1,-3.154181081E-1
1.826406917E0,3.455827242E-1,1.702015134E0,-4.988902867E-1
1.836476917E0,1.153766745E-1,1.774846882E0,-4.175368059E-1
1.846546917E0,3.898134023E-1,1.195860266E0,-8.958910865E-1
1.856616917E0,7.039351827E-1,1.063176418E0,-9.541211683E-1
1.866686917E0,8.469931608E-1,1.233648482E0,-8.168285447E-1
1.876756917E0,9.061123118E-1,1.455097741E0,-7.703472733E-1
1.886826917E0,7.043345475E-1,1.612105422E0,-6.655593216E-1
1.896895917E0,3.743027857E-1,1.715948464E0,-6.754422855E-1
1.906965917E0,1.992456275E-1,1.811380870E0,-5.449189836E-1
1.917035917E0,2.771904740E-1,1.943563027E0,-2.699542522E-1
1.927105917E0,3.656945148E-1,2.007038062E0,-9.543357611E-2
1.937175917E0,3.706471065E-1,2.094825234E0,2.689999866E-1
1.947245917E0,4.244128391E-1,1.987549877E0,3.059865493E-1
1.957315917E0,5.244075358E-1,1.490440067E0,2.248488307E-1
1.967385917E0,7.774992952E-1,1.293152672E0,4.588660955E-1
1.977455917E0,1.051957073E0,1.231496707E0,5.636353362E-1
1.987525917E0,1.197016261E0,1.210389428E0,4.516915619E-1
1.997595917E0,1.336971999E0,1.255669681E0,3.999589062E-1
2.007665917E0,1.039970573E0,1.335124571E0,4.443854660E-1
2.017735917E0,6.941840735E-1,1.406921362E0,2.400258636E-1
2.027805916E0,2.998498964E-1,1.483017027E0,2.377261537E-1
2.037875917E0,-1.066754329E-1,1.630090873E0,3.797737330E-1
2.047945917E0,-3.754868469E-1,1.783965030E0,8.371084428E-1
2.058014916E0,-5.127440947E-1,1.817474838E0,1.261380656E0
2.068084917E0,-3.704319289E-1,1.896428622E0,1.551704854E0
2.078154917E0,-1.407021350E-1,1.952004653E0,1.540926096E0
2.088224916E0,3.043680400E-1,1.735374084E0,1.473139910E0
2.098294917E0,7.216735885E-1,1.253168242E0,1.325031692E0
2.108364917E0,9.497942287E-1,5.977807367E-1,9.218720198E-1
2.118434916E0,1.056811724E0,-4.713674426E-2,5.624471819E-1
2.128504917E0,9.634413376E-1,-5.709700835E-1,-1.934726715E-2
2.138574917E0,6.877404419E-1,-1.145114036E0,-5.308289480E-1
2.148644916E0,1.635264489E-1,-1.319787909E0,-2.145635784E-1
2.158714917E0,-3.032637933E-1,-1.041309001E0,-4.405467689E-2
2.168784917E0,-5.966139248E-1,-7.990723050E-1,1.113274777E-1
2.178854916E0,-7.322833613E-1,-7.388693726E-1,2.671826720E-1
2.188924917E0,-6.645158860E-1,-7.314416546E-1,2.073258948E-1
2.198994917E0,-5.707788795E-1,-8.944175881E-1,5.544487756E-1
2.209064916E0,-6.519268307E-1,-6.918659449E-1,2.284214795E-1
2.219134917E0,-5.674298868E-1,-3.943695527E-1,-1.203930008E-1
2.229204917E0,-5.309552479E-1,-4.988329840E-1,-4.774836302E-3
2.239273917E0,-4.485282183E-1,-5.812360400E-1,-1.319026601E-1
2.249343917E0,-2.294073200E-1,-6.533134979E-1,-2.847383523E-1
2.259413917E0,-6.794376880E-2,-7.076218522E-1,-2.622213095E-1
2.269483917E0,1.575551261E-1,-7.140549588E-1,-5.509527254E-1
2.279553917E0,3.164928263E-1,-6.388366690E-1,-8.885838211E-1
2.289623917E0,3.711958677E-1,-4.719872475E-1,-1.149959038E0
2.299693917E0,2.289421740E-1,-2.287211493E-1,-1.229910357E0
2.309763917E0,-3.675705940E-3,2.932817191E-2,-1.214313494E0
2.319833917E0,-1.951860519E-1,3.573917609E-1,-9.801202279E-1
2.329903917E0,-3.073971900E-1,4.796044153E-1,-6.981727517E-1
2.339973917E0,-3.513043709E-1,3.928320274E-1,-5.868452740E-1
2.350043917E0,-3.778817202E-1,4.024112284E-1,-4.708517182E-1
2.360113917E0,-2.093914238E-1,3.557454774E-1,-3.853192323E-1
2.370183917E0,-3.393972471E-2,3.804502559E-1,-1.084874851E-1
2.380253917E0,1.608462314E-1,4.034306905E-1,-1.825956810E-1
2.390323917E0,3.482493469E-1,3.889342734E-1,-4.613037997E-1
2.400393917E0,6.649182475E-1,3.677577049E-1,-4.275922626E-1
2.410463917E0,9.168005835E-1,3.810262066E-1,-5.042960376E-1
2.420533917E0,1.091105644E0,4.778949818E-1,-5.797262889E-1
2.430602917E0,1.223065314E0,5.900545183E-1,-5.776563746E-1
2.440672917E0,1.255798320E0,7.279304016E-1,-4.387820792E-1
2.450742917E0,1.036879004E0,1.094880606E0,-2.781777763E-1
2.460812917E0,8.082085794E-1,1.376940641E0,-2.854622376E-1
2.470882917E0,5.191498291E-1,1.551473304E0,-4.172923923E-1
2.480952917E0,3.256313666E-1,1.650075486E0,-4.046425259E-1
2.491022917E0,3.465932693E-1,1.583833842E0,-4.326816791E-1
2.501092917E0,3.835118580E-1,1.272935632E0,-8.062637955E-1
2.511162917E0,3.188264501E-1,1.067008975E0,-9.353516060E-1
2.521232917E0,2.775771211E-1,1.126015275E0,-5.815126133E-1
